Language	Concept	Cognateset
Dutch	CHEST	CHEST.1261
Elfdalian	CHEST	CHEST.1261
English	CHEST	CHEST.1626
Frisian	CHEST	CHEST.1261
German	CHEST	CHEST.1261
Hindi	CHEST	CHEST.1088
Russian	CHEST	CHEST.914
Spanish	CHEST	CHEST.287
Swedish	CHEST	CHEST.1261
Danish	CHILD	CHILD.5
Dutch	CHILD	CHILD.646
Elfdalian	CHILD	CHILD.1574
English	CHILD	CHILD.1627
Frisian	CHILD	CHILD.5
German	CHILD	CHILD.646
Hindi	CHILD	CHILD.1925
Russian	CHILD	CHILD.922
Spanish	CHILD	CHILD.416
Swedish	CHILD	CHILD.5
Danish	CLAW	CLAW.1424
Dutch	CLAW	CLAW.1424
Elfdalian	CLAW	CLAW.1424
English	CLAW	CLAW.1424
Frisian	CLAW	CLAW.1424
German	CLAW	CLAW.2028
Hindi	CLAW	CLAW.1090
Russian	CLAW	CLAW.3873
Spanish	CLAW	CLAW.4155
Swedish	CLAW	CLAW.1424
Danish	CLOUD	CLOUD.1425
Dutch	CLOUD	CLOUD.1250
Elfdalian	CLOUD	CLOUD.1575
English	CLOUD	CLOUD.1628
Frisian	CLOUD	CLOUD.1250
German	CLOUD	CLOUD.1250
Hindi	CLOUD	CLOUD.1091
Russian	CLOUD	CLOUD.916
Spanish	CLOUD	CLOUD.289
Swedish	CLOUD	CLOUD.4163
Danish	COLD	COLD.317
Dutch	COLD	COLD.317
Elfdalian	COLD	COLD.317
English	COLD	COLD.317
Frisian	COLD	COLD.317
German	COLD	COLD.317
Hindi	COLD	COLD.615
Russian	COLD	COLD.917
Spanish	COLD	COLD.290
Swedish	COLD	COLD.317
Danish	COME	COME.291
Dutch	COME	COME.291
Elfdalian	COME	COME.291
English	COME	COME.291
Frisian	COME	COME.291
German	COME	COME.291
Hindi	COME	COME.291
Russian	COME	COME.3874
Spanish	COME	COME.291
Swedish	COME	COME.291
Danish	COUNT	COUNT.1426
Dutch	COUNT	COUNT.1537
Elfdalian	COUNT	COUNT.1576
English	COUNT	COUNT.1629
Frisian	COUNT	COUNT.1426
German	COUNT	COUNT.1426
Hindi	COUNT	COUNT.999
Russian	COUNT	COUNT.1355
Spanish	COUNT	COUNT.292
Swedish	COUNT	COUNT.4164
Danish	CRY	CRY.1427
Dutch	CRY	CRY.1538
Elfdalian	CRY	CRY.1577
English	CRY	CRY.1630
Frisian	CRY	CRY.1538
German	CRY	CRY.2043
Hindi	CRY	CRY.671
Russian	CRY	CRY.919
Spanish	CRY	CRY.1320
Swedish	CRY	CRY.1427
Danish	CUT	CUT.492
Dutch	CUT	CUT.1539
Elfdalian	CUT	CUT.1578
English	CUT	CUT.1631
Frisian	CUT	CUT.1539
German	CUT	CUT.1539
Hindi	CUT	CUT.275
Russian	CUT	CUT.920
Spanish	CUT	CUT.375
Swedish	CUT	CUT.492
Danish	DAY	DAY.15
Dutch	DAY	DAY.15
Elfdalian	DAY	DAY.15
English	DAY	DAY.15
Frisian	DAY	DAY.15
German	DAY	DAY.15
Hindi	DAY	DAY.295
Russian	DAY	DAY.295
Spanish	DAY	DAY.295
Swedish	DAY	DAY.15
Danish	DIE	DIE.822
Dutch	DIE	DIE.822
Elfdalian	DIE	DIE.822
English	DIE	DIE.1632
Frisian	DIE	DIE.1699
German	DIE	DIE.1699
Hindi	DIE	DIE.296
Russian	DIE	DIE.296
Spanish	DIE	DIE.296
Swedish	DIE	DIE.822
Danish	DIG	DIG.1428
Dutch	DIG	DIG.1428
Elfdalian	DIG	DIG.1428
English	DIG	DIG.1633
Frisian	DIG	DIG.1428
German	DIG	DIG.1428
Hindi	DIG	DIG.2360
Russian	DIG	DIG.78
Spanish	DIG	DIG.1322
Swedish	DIG	DIG.1428
Danish	DIRTY	DIRTY.1429
Dutch	DIRTY	DIRTY.364
Elfdalian	DIRTY	DIRTY.1579
English	DIRTY	DIRTY.1634
Frisian	DIRTY	DIRTY.1736
German	DIRTY	DIRTY.2044
Hindi	DIRTY	DIRTY.1093
Russian	DIRTY	DIRTY.3875
Spanish	DIRTY	DIRTY.3460
Swedish	DIRTY	DIRTY.1579
Danish	DO	DO.1430
Dutch	DO	DO.299
Elfdalian	DO	DO.1430
English	DO	DO.299
Frisian	DO	DO.299
German	DO	DO.2030
Hindi	DO	DO.620
Russian	DO	DO.299
Spanish	DO	DO.299
Swedish	DO	DO.1430
Danish	DOG	DOG.300
Dutch	DOG	DOG.300
Elfdalian	DOG	DOG.1580
English	DOG	DOG.1635
Frisian	DOG	DOG.300
German	DOG	DOG.300
Hindi	DOG	DOG.2361
Russian	DOG	DOG.923
Spanish	DOG	DOG.3543
Swedish	DOG	DOG.300
Danish	DRINK	DRINK.1431
Dutch	DRINK	DRINK.1431
Elfdalian	DRINK	DRINK.1431
English	DRINK	DRINK.1431
Frisian	DRINK	DRINK.1431
German	DRINK	DRINK.1431
Hindi	DRINK	DRINK.30
Russian	DRINK	DRINK.30
Spanish	DRINK	DRINK.30
Swedish	DRINK	DRINK.1431
Danish	DRY	DRY.303
Dutch	DRY	DRY.1540
Elfdalian	DRY	DRY.303
English	DRY	DRY.1540
Frisian	DRY	DRY.1540
German	DRY	DRY.1540
Hindi	DRY	DRY.675
Russian	DRY	DRY.675
Spanish	DRY	DRY.285
Swedish	DRY	DRY.303
Danish	DUST	DUST.1432
Dutch	DUST	DUST.1541
Elfdalian	DUST	DUST.1581
English	DUST	DUST.1636
Frisian	DUST	DUST.1541
German	DUST	DUST.1541
Hindi	DUST	DUST.1001
Russian	DUST	DUST.364
Spanish	DUST	DUST.302
Swedish	DUST	DUST.1432
Danish	EAR	EAR.33
Dutch	EAR	EAR.33
Elfdalian	EAR	EAR.33
English	EAR	EAR.33
Frisian	EAR	EAR.33
German	EAR	EAR.33
Hindi	EAR	EAR.621
Russian	EAR	EAR.33
Spanish	EAR	EAR.33
Swedish	EAR	EAR.33
Danish	EARTH	EARTH.1433
Dutch	EARTH	EARTH.1433
Elfdalian	EARTH	EARTH.323
English	EARTH	EARTH.1433
Frisian	EARTH	EARTH.1737
German	EARTH	EARTH.2045
Hindi	EARTH	EARTH.2362
Russian	EARTH	EARTH.34
Spanish	EARTH	EARTH.303
Swedish	EARTH	EARTH.2045
Danish	EAT	EAT.439
Dutch	EAT	EAT.439
Elfdalian	EAT	EAT.439
English	EAT	EAT.439
Frisian	EAT	EAT.439
German	EAT	EAT.439
Hindi	EAT	EAT.622
Russian	EAT	EAT.439
Spanish	EAT	EAT.439
Swedish	EAT	EAT.439
Danish	EGG	EGG.36
Dutch	EGG	EGG.36
Elfdalian	EGG	EGG.36
English	EGG	EGG.1637
Frisian	EGG	EGG.36
German	EGG	EGG.36
Hindi	EGG	EGG.1002
Russian	EGG	EGG.36
Spanish	EGG	EGG.36
Swedish	EGG	EGG.36
Danish	EYE	EYE.37
Dutch	EYE	EYE.37
Elfdalian	EYE	EYE.37
English	EYE	EYE.37
Frisian	EYE	EYE.37
German	EYE	EYE.37
Hindi	EYE	EYE.37
Russian	EYE	EYE.3876
Spanish	EYE	EYE.37
Swedish	EYE	EYE.37
Danish	FALL	FALL.1434
Dutch	FALL	FALL.1434
Elfdalian	FALL	FALL.1434
English	FALL	FALL.1434
Frisian	FALL	FALL.1434
German	FALL	FALL.1434
Hindi	FALL	FALL.1094
Russian	FALL	FALL.315
Spanish	FALL	FALL.305
Swedish	FALL	FALL.1434
Danish	FAR	FAR.8
Dutch	FAR	FAR.286
Elfdalian	FAR	FAR.89
English	FAR	FAR.286
Frisian	FAR	FAR.286
German	FAR	FAR.1506
Hindi	FAR	FAR.327
Russian	FAR	FAR.89
Spanish	FAR	FAR.4156
Swedish	FAR	FAR.89
Danish	FAT	FAT.1435
Dutch	FAT	FAT.1435
Elfdalian	FAT	FAT.1435
English	FAT	FAT.1435
Frisian	FAT	FAT.1435
German	FAT	FAT.1435
Hindi	FAT	FAT.1003
Russian	FAT	FAT.3877
Spanish	FAT	FAT.306
Swedish	FAT	FAT.1435
Danish	FATHER	FATHER.307
Dutch	FATHER	FATHER.307
Elfdalian	FATHER	FATHER.307
English	FATHER	FATHER.307
Frisian	FATHER	FATHER.307
German	FATHER	FATHER.307
Hindi	FATHER	FATHER.2363
Russian	FATHER	FATHER.1358
Spanish	FATHER	FATHER.307
Swedish	FATHER	FATHER.307
Danish	FEAR	FEAR.1436
Dutch	FEAR	FEAR.1542
Elfdalian	FEAR	FEAR.1582
English	FEAR	FEAR.1638
Frisian	FEAR	FEAR.477
German	FEAR	FEAR.477
Hindi	FEAR	FEAR.905
Russian	FEAR	FEAR.926
Spanish	FEAR	FEAR.3832
Swedish	FEAR	FEAR.4165
Danish	FEATHER	FEATHER.308
Dutch	FEATHER	FEATHER.308
Elfdalian	FEATHER	FEATHER.308
English	FEATHER	FEATHER.308
Frisian	FEATHER	FEATHER.308
German	FEATHER	FEATHER.308
Hindi	FEATHER	FEATHER.1072
Russian	FEATHER	FEATHER.681
Spanish	FEATHER	FEATHER.361
Swedish	FEATHER	FEATHER.308
