Language	Concept	Cognateset
Russian	KNOW	KNOW.638
Spanish	KNOW	KNOW.337
Swedish	KNOW	KNOW.372
Danish	LAKE	LAKE.1454
Dutch	LAKE	LAKE.371
Elfdalian	LAKE	LAKE.1454
English	LAKE	LAKE.1649
Frisian	LAKE	LAKE.8
German	LAKE	LAKE.1454
Hindi	LAKE	LAKE.2367
Russian	LAKE	LAKE.947
Spanish	LAKE	LAKE.219
Swedish	LAKE	LAKE.1454
Danish	LAUGH	LAUGH.1455
Dutch	LAUGH	LAUGH.1455
Elfdalian	LAUGH	LAUGH.1592
English	LAUGH	LAUGH.1455
Frisian	LAUGH	LAUGH.1455
German	LAUGH	LAUGH.1455
Hindi	LAUGH	LAUGH.1018
Russian	LAUGH	LAUGH.948
Spanish	LAUGH	LAUGH.338
Swedish	LAUGH	LAUGH.4169
Danish	LEAF	LEAF.312
Dutch	LEAF	LEAF.312
Elfdalian	LEAF	LEAF.1593
English	LEAF	LEAF.1593
Frisian	LEAF	LEAF.312
German	LEAF	LEAF.312
Hindi	LEAF	LEAF.308
Russian	LEAF	LEAF.949
Spanish	LEAF	LEAF.339
Swedish	LEAF	LEAF.312
Danish	LEFT	LEFT.1456
Dutch	LEFT	LEFT.1547
Elfdalian	LEFT	LEFT.1456
English	LEFT	LEFT.1650
Frisian	LEFT	LEFT.1547
German	LEFT	LEFT.1547
Hindi	LEFT	LEFT.639
Russian	LEFT	LEFT.435
Spanish	LEFT	LEFT.3462
Swedish	LEFT	LEFT.1456
Danish	LEG	LEG.1422
Dutch	LEG	LEG.1422
Elfdalian	LEG	LEG.1594
English	LEG	LEG.1651
Frisian	LEG	LEG.315
German	LEG	LEG.1422
Hindi	LEG	LEG.2368
Russian	LEG	LEG.288
Spanish	LEG	LEG.3545
Swedish	LEG	LEG.1422
Danish	LIE	LIE.950
Dutch	LIE	LIE.950
Elfdalian	LIE	LIE.950
English	LIE	LIE.950
Frisian	LIE	LIE.950
German	LIE	LIE.950
Hindi	LIE	LIE.1104
Russian	LIE	LIE.950
Spanish	LIE	LIE.342
Swedish	LIE	LIE.950
Danish	LIVE	LIVE.1155
Dutch	LIVE	LIVE.1548
Elfdalian	LIVE	LIVE.1595
English	LIVE	LIVE.1595
Frisian	LIVE	LIVE.1595
German	LIVE	LIVE.1595
Hindi	LIVE	LIVE.343
Russian	LIVE	LIVE.343
Spanish	LIVE	LIVE.343
Swedish	LIVE	LIVE.1595
Danish	LIVER	LIVER.1457
Dutch	LIVER	LIVER.1457
Elfdalian	LIVER	LIVER.1457
English	LIVER	LIVER.1457
Frisian	LIVER	LIVER.1457
German	LIVER	LIVER.1457
Hindi	LIVER	LIVER.1105
Russian	LIVER	LIVER.650
Spanish	LIVER	LIVER.344
Swedish	LIVER	LIVER.1457
Danish	LONG	LONG.89
Dutch	LONG	LONG.89
Elfdalian	LONG	LONG.89
English	LONG	LONG.89
Frisian	LONG	LONG.89
German	LONG	LONG.89
Hindi	LONG	LONG.1020
Russian	LONG	LONG.89
Spanish	LONG	LONG.1333
Swedish	LONG	LONG.89
Danish	LOUSE	LOUSE.1200
Dutch	LOUSE	LOUSE.1200
Elfdalian	LOUSE	LOUSE.1200
English	LOUSE	LOUSE.1200
Frisian	LOUSE	LOUSE.1200
German	LOUSE	LOUSE.1200
Hindi	LOUSE	LOUSE.642
Russian	LOUSE	LOUSE.951
Spanish	LOUSE	LOUSE.345
Swedish	LOUSE	LOUSE.1200
Danish	MAN	MAN.1458
Dutch	MAN	MAN.1458
Elfdalian	MAN	MAN.177
English	MAN	MAN.1458
Frisian	MAN	MAN.1458
German	MAN	MAN.1458
Hindi	MAN	MAN.8
Russian	MAN	MAN.326
Spanish	MAN	MAN.34
Swedish	MAN	MAN.177
Danish	MEAT	MEAT.1459
Dutch	MEAT	MEAT.1549
Elfdalian	MEAT	MEAT.1596
English	MEAT	MEAT.1180
Frisian	MEAT	MEAT.1742
German	MEAT	MEAT.1549
Hindi	MEAT	MEAT.92
Russian	MEAT	MEAT.92
Spanish	MEAT	MEAT.346
Swedish	MEAT	MEAT.1459
Danish	MOON	MOON.706
Dutch	MOON	MOON.706
Elfdalian	MOON	MOON.1597
English	MOON	MOON.706
Frisian	MOON	MOON.706
German	MOON	MOON.706
Hindi	MOON	MOON.93
Russian	MOON	MOON.347
Spanish	MOON	MOON.347
Swedish	MOON	MOON.706
Danish	MOTHER	MOTHER.348
Dutch	MOTHER	MOTHER.348
Elfdalian	MOTHER	MOTHER.348
English	MOTHER	MOTHER.348
Frisian	MOTHER	MOTHER.1743
German	MOTHER	MOTHER.348
Hindi	MOTHER	MOTHER.2369
Russian	MOTHER	MOTHER.348
Spanish	MOTHER	MOTHER.348
Swedish	MOTHER	MOTHER.348
Danish	MOUNTAIN	MOUNTAIN.378
Dutch	MOUNTAIN	MOUNTAIN.1520
Elfdalian	MOUNTAIN	MOUNTAIN.1520
English	MOUNTAIN	MOUNTAIN.1652
Frisian	MOUNTAIN	MOUNTAIN.1520
German	MOUNTAIN	MOUNTAIN.1520
Hindi	MOUNTAIN	MOUNTAIN.644
Russian	MOUNTAIN	MOUNTAIN.143
Spanish	MOUNTAIN	MOUNTAIN.326
Swedish	MOUNTAIN	MOUNTAIN.378
Danish	MOUTH	MOUTH.1460
Dutch	MOUTH	MOUTH.1460
Elfdalian	MOUTH	MOUTH.1460
English	MOUTH	MOUTH.1460
Frisian	MOUTH	MOUTH.1744
German	MOUTH	MOUTH.1460
Hindi	MOUTH	MOUTH.645
Russian	MOUTH	MOUTH.78
Spanish	MOUTH	MOUTH.349
Swedish	MOUTH	MOUTH.1460
Danish	NAIL	NAIL.288
Dutch	NAIL	NAIL.288
Elfdalian	NAIL	NAIL.288
English	NAIL	NAIL.288
Frisian	NAIL	NAIL.288
German	NAIL	NAIL.288
Hindi	NAIL	NAIL.1107
Russian	NAIL	NAIL.288
Spanish	NAIL	NAIL.288
Swedish	NAIL	NAIL.288
Danish	NAME	NAME.227
Dutch	NAME	NAME.227
Elfdalian	NAME	NAME.227
English	NAME	NAME.227
Frisian	NAME	NAME.227
German	NAME	NAME.227
Hindi	NAME	NAME.227
Russian	NAME	NAME.227
Spanish	NAME	NAME.227
Swedish	NAME	NAME.227
Danish	NARROW	NARROW.1461
Dutch	NARROW	NARROW.8
Elfdalian	NARROW	NARROW.1598
English	NARROW	NARROW.1653
Frisian	NARROW	NARROW.1461
German	NARROW	NARROW.477
Hindi	NARROW	NARROW.2370
Russian	NARROW	NARROW.477
Spanish	NARROW	NARROW.477
Swedish	NARROW	NARROW.1461
Danish	NAVEL	NAVEL.351
Dutch	NAVEL	NAVEL.351
Elfdalian	NAVEL	NAVEL.351
English	NAVEL	NAVEL.1142
Frisian	NAVEL	NAVEL.351
German	NAVEL	NAVEL.351
Hindi	NAVEL	NAVEL.1024
Russian	NAVEL	NAVEL.3103
Spanish	NAVEL	NAVEL.351
Swedish	NAVEL	NAVEL.351
Danish	NEAR	NEAR.1462
Dutch	NEAR	NEAR.1462
Elfdalian	NEAR	NEAR.1462
English	NEAR	NEAR.1462
Frisian	NEAR	NEAR.1702
German	NEAR	NEAR.2050
Hindi	NEAR	NEAR.1110
Russian	NEAR	NEAR.953
Spanish	NEAR	NEAR.8
Swedish	NEAR	NEAR.2050
Danish	NECK	NECK.1463
Dutch	NECK	NECK.1463
Elfdalian	NECK	NECK.1463
English	NECK	NECK.1463
Frisian	NECK	NECK.353
German	NECK	NECK.1463
Hindi	NECK	NECK.2371
Russian	NECK	NECK.373
Spanish	NECK	NECK.353
Swedish	NECK	NECK.353
Danish	NEW	NEW.354
Dutch	NEW	NEW.354
Elfdalian	NEW	NEW.354
English	NEW	NEW.354
Frisian	NEW	NEW.354
German	NEW	NEW.354
Hindi	NEW	NEW.354
Russian	NEW	NEW.354
Spanish	NEW	NEW.354
Swedish	NEW	NEW.354
Danish	NIGHT	NIGHT.103
Dutch	NIGHT	NIGHT.103
Elfdalian	NIGHT	NIGHT.103
English	NIGHT	NIGHT.103
Frisian	NIGHT	NIGHT.103
German	NIGHT	NIGHT.103
Hindi	NIGHT	NIGHT.1027
Russian	NIGHT	NIGHT.103
Spanish	NIGHT	NIGHT.103
Swedish	NIGHT	NIGHT.103
Danish	NOSE	NOSE.355
Dutch	NOSE	NOSE.355
Elfdalian	NOSE	NOSE.1599
English	NOSE	NOSE.355
Frisian	NOSE	NOSE.355
German	NOSE	NOSE.355
Hindi	NOSE	NOSE.355
Russian	NOSE	NOSE.355
Spanish	NOSE	NOSE.355
Swedish	NOSE	NOSE.355
Danish	NOT	NOT.1464
Dutch	NOT	NOT.229
Elfdalian	NOT	NOT.1464
English	NOT	NOT.229
Frisian	NOT	NOT.229
German	NOT	NOT.229
Hindi	NOT	NOT.229
Russian	NOT	NOT.229
Spanish	NOT	NOT.229
Swedish	NOT	NOT.1464
Danish	OLD	OLD.1465
Dutch	OLD	OLD.1550
Elfdalian	OLD	OLD.1465
English	OLD	OLD.1550
Frisian	OLD	OLD.1550
German	OLD	OLD.1550
Hindi	OLD	OLD.2372
Russian	OLD	OLD.69
Spanish	OLD	OLD.179
Swedish	OLD	OLD.1465
Danish	ONE	ONE.356
Dutch	ONE	ONE.356
Elfdalian	ONE	ONE.356
English	ONE	ONE.356
Frisian	ONE	ONE.356
German	ONE	ONE.356
Hindi	ONE	ONE.356
Russian	ONE	ONE.356
Spanish	ONE	ONE.356
Swedish	ONE	ONE.356
Danish	PERSON	PERSON.1466
Dutch	PERSON	PERSON.357
Elfdalian	PERSON	PERSON.1466
English	PERSON	PERSON.357
Frisian	PERSON	PERSON.1458
German	PERSON	PERSON.1458
Hindi	PERSON	PERSON.1111
Russian	PERSON	PERSON.3815
Spanish	PERSON	PERSON.34
Swedish	PERSON	PERSON.357
Danish	PLAY	PLAY.1467
Dutch	PLAY	PLAY.1551
Elfdalian	PLAY	PLAY.1467
English	PLAY	PLAY.1654
Frisian	PLAY	PLAY.8
German	PLAY	PLAY.1551
Hindi	PLAY	PLAY.647
Russian	PLAY	PLAY.1301
Spanish	PLAY	PLAY.358
Swedish	PLAY	PLAY.1467
Danish	PULL	PULL.1468
Dutch	PULL	PULL.1552
Elfdalian	PULL	PULL.1468
English	PULL	PULL.1655
Frisian	PULL	PULL.1552
German	PULL	PULL.1150
Hindi	PULL	PULL.1112
Russian	PULL	PULL.941
Spanish	PULL	PULL.8
Swedish	PULL	PULL.1468
Danish	PUSH	PUSH.1469
Dutch	PUSH	PUSH.1553
Elfdalian	PUSH	PUSH.1600
English	PUSH	PUSH.1656
Frisian	PUSH	PUSH.1745
German	PUSH	PUSH.2051
Hindi	PUSH	PUSH.1113
Russian	PUSH	PUSH.1364
Spanish	PUSH	PUSH.384
Swedish	PUSH	PUSH.8
Danish	RAIN	RAIN.1470
Dutch	RAIN	RAIN.1470
Elfdalian	RAIN	RAIN.1470
English	RAIN	RAIN.1470
Frisian	RAIN	RAIN.1470
German	RAIN	RAIN.1470
Hindi	RAIN	RAIN.2373
Russian	RAIN	RAIN.295
Spanish	RAIN	RAIN.361
Swedish	RAIN	RAIN.1470
Danish	RED	RED.362
Dutch	RED	RED.362
Elfdalian	RED	RED.362
English	RED	RED.362
Frisian	RED	RED.362
German	RED	RED.362
Hindi	RED	RED.1031
Russian	RED	RED.3882
Spanish	RED	RED.362
Swedish	RED	RED.362
Danish	RIGHT	RIGHT.1471
Dutch	RIGHT	RIGHT.390
Elfdalian	RIGHT	RIGHT.1471
English	RIGHT	RIGHT.390
Frisian	RIGHT	RIGHT.390
German	RIGHT	RIGHT.390
Hindi	RIGHT	RIGHT.232
Russian	RIGHT	RIGHT.3883
Spanish	RIGHT	RIGHT.390
Swedish	RIGHT	RIGHT.1471
Danish	RIVER	RIVER.1472
Dutch	RIVER	RIVER.1554
Elfdalian	RIVER	RIVER.1472
English	RIVER	RIVER.1554
Frisian	RIVER	RIVER.1554
German	RIVER	RIVER.2035
Hindi	RIVER	RIVER.649
Russian	RIVER	RIVER.959
Spanish	RIVER	RIVER.959
Swedish	RIVER	RIVER.409
Danish	ROOT	ROOT.115
Dutch	ROOT	ROOT.115
Elfdalian	ROOT	ROOT.115
English	ROOT	ROOT.1657
Frisian	ROOT	ROOT.115
German	ROOT	ROOT.115
Hindi	ROOT	ROOT.2374
Russian	ROOT	ROOT.620
Spanish	ROOT	ROOT.115
Swedish	ROOT	ROOT.115
Danish	ROTTEN	ROTTEN.1473
Dutch	ROTTEN	ROTTEN.1555
Elfdalian	ROTTEN	ROTTEN.1601
English	ROTTEN	ROTTEN.1658
Frisian	ROTTEN	ROTTEN.1473
German	ROTTEN	ROTTEN.364
Hindi	ROTTEN	ROTTEN.305
Russian	ROTTEN	ROTTEN.960
Spanish	ROTTEN	ROTTEN.364
Swedish	ROTTEN	ROTTEN.4170
Danish	ROUND	ROUND.1474
Dutch	ROUND	ROUND.1474
Elfdalian	ROUND	ROUND.1474
English	ROUND	ROUND.1474
Frisian	ROUND	ROUND.1474
German	ROUND	ROUND.1474
Hindi	ROUND	ROUND.1033
Russian	ROUND	ROUND.961
Spanish	ROUND	ROUND.365
Swedish	ROUND	ROUND.1474
Danish	RUN	RUN.1475
Dutch	RUN	RUN.959
Elfdalian	RUN	RUN.1602
English	RUN	RUN.959
Frisian	RUN	RUN.1746
German	RUN	RUN.959
Hindi	RUN	RUN.1034
Russian	RUN	RUN.962
Spanish	RUN	RUN.366
Swedish	RUN	RUN.4171
Danish	SALT	SALT.367
Dutch	SALT	SALT.367
Elfdalian	SALT	SALT.367
English	SALT	SALT.367
Frisian	SALT	SALT.367
German	SALT	SALT.367
Hindi	SALT	SALT.1115
Russian	SALT	SALT.367
Spanish	SALT	SALT.367
Swedish	SALT	SALT.367
Danish	SAND	SAND.1476
Dutch	SAND	SAND.1476
Elfdalian	SAND	SAND.1476
English	SAND	SAND.1476
Frisian	SAND	SAND.1476
German	SAND	SAND.1476
Hindi	SAND	SAND.1036
Russian	SAND	SAND.676
Spanish	SAND	SAND.2480
Swedish	SAND	SAND.1476
Danish	SAY	SAY.1477
Dutch	SAY	SAY.1477
Elfdalian	SAY	SAY.1477
English	SAY	SAY.1477
Frisian	SAY	SAY.1477
German	SAY	SAY.1477
Hindi	SAY	SAY.1037
Russian	SAY	SAY.678
Spanish	SAY	SAY.369
Swedish	SAY	SAY.1477
Danish	SCRATCH	SCRATCH.1478
Dutch	SCRATCH	SCRATCH.1556
Elfdalian	SCRATCH	SCRATCH.1424
English	SCRATCH	SCRATCH.1659
Frisian	SCRATCH	SCRATCH.1424
German	SCRATCH	SCRATCH.1659
Hindi	SCRATCH	SCRATCH.630
Russian	SCRATCH	SCRATCH.963
Spanish	SCRATCH	SCRATCH.3547
Swedish	SCRATCH	SCRATCH.1424
Danish	SEA	SEA.1454
Dutch	SEA	SEA.1454
Elfdalian	SEA	SEA.334
English	SEA	SEA.1454
Frisian	SEA	SEA.1454
German	SEA	SEA.1454
Hindi	SEA	SEA.1039
Russian	SEA	SEA.371
Spanish	SEA	SEA.371
Swedish	SEA	SEA.334
Danish	SEE	SEE.1479
Dutch	SEE	SEE.1479
Elfdalian	SEE	SEE.1479
English	SEE	SEE.1479
Frisian	SEE	SEE.1479
German	SEE	SEE.2052
Hindi	SEE	SEE.652
Russian	SEE	SEE.372
Spanish	SEE	SEE.372
Swedish	SEE	SEE.2052
Danish	SEED	SEED.1480
Dutch	SEED	SEED.251
Elfdalian	SEED	SEED.251
English	SEED	SEED.251
Frisian	SEED	SEED.251
German	SEED	SEED.251
Hindi	SEED	SEED.1040
Russian	SEED	SEED.251
Spanish	SEED	SEED.251
Swedish	SEED	SEED.1480
Danish	SEW	SEW.373
Dutch	SEW	SEW.1230
Elfdalian	SEW	SEW.373
English	SEW	SEW.373
Frisian	SEW	SEW.1230
German	SEW	SEW.1230
Hindi	SEW	SEW.373
Russian	SEW	SEW.373
Spanish	SEW	SEW.373
Swedish	SEW	SEW.373
Danish	SHADOW	SHADOW.1481
Dutch	SHADOW	SHADOW.1220
Elfdalian	SHADOW	SHADOW.1481
English	SHADOW	SHADOW.1220
Frisian	SHADOW	SHADOW.1220
German	SHADOW	SHADOW.2053
Hindi	SHADOW	SHADOW.1041
Russian	SHADOW	SHADOW.964
Spanish	SHADOW	SHADOW.374
Swedish	SHADOW	SHADOW.1481
Danish	SHARP	SHARP.1482
Dutch	SHARP	SHARP.1482
Elfdalian	SHARP	SHARP.1603
English	SHARP	SHARP.1482
Frisian	SHARP	SHARP.1482
German	SHARP	SHARP.1482
Hindi	SHARP	SHARP.1117
Russian	SHARP	SHARP.237
Spanish	SHARP	SHARP.8
Swedish	SHARP	SHARP.1482
Danish	SHORT	SHORT.1483
Dutch	SHORT	SHORT.1557
Elfdalian	SHORT	SHORT.1604
English	SHORT	SHORT.1660
Frisian	SHORT	SHORT.1557
German	SHORT	SHORT.2054
Hindi	SHORT	SHORT.1046
Russian	SHORT	SHORT.275
Spanish	SHORT	SHORT.375
Swedish	SHORT	SHORT.4172
Danish	SING	SING.1484
Dutch	SING	SING.1484
Elfdalian	SING	SING.1605
English	SING	SING.1484
Frisian	SING	SING.1484
German	SING	SING.1484
Hindi	SING	SING.720
Russian	SING	SING.965
Spanish	SING	SING.376
Swedish	SING	SING.1484
Danish	SIT	SIT.377
Dutch	SIT	SIT.377
Elfdalian	SIT	SIT.377
English	SIT	SIT.377
Frisian	SIT	SIT.377
German	SIT	SIT.377
Hindi	SIT	SIT.1118
Russian	SIT	SIT.377
Spanish	SIT	SIT.377
Swedish	SIT	SIT.377
Danish	SKIN	SKIN.1485
Dutch	SKIN	SKIN.1485
Elfdalian	SKIN	SKIN.1606
English	SKIN	SKIN.1661
Frisian	SKIN	SKIN.1485
German	SKIN	SKIN.1485
Hindi	SKIN	SKIN.2375
Russian	SKIN	SKIN.1304
Spanish	SKIN	SKIN.378
Swedish	SKIN	SKIN.1606
Danish	SKY	SKY.1486
Dutch	SKY	SKY.1558
Elfdalian	SKY	SKY.1486
English	SKY	SKY.1662
Frisian	SKY	SKY.1558
German	SKY	SKY.1486
Hindi	SKY	SKY.653
Russian	SKY	SKY.3884
Spanish	SKY	SKY.379
Swedish	SKY	SKY.4163
Danish	SLEEP	SLEEP.502
Dutch	SLEEP	SLEEP.1559
Elfdalian	SLEEP	SLEEP.502
English	SLEEP	SLEEP.1559
Frisian	SLEEP	SLEEP.1559
German	SLEEP	SLEEP.1559
Hindi	SLEEP	SLEEP.502
Russian	SLEEP	SLEEP.502
Spanish	SLEEP	SLEEP.380
Swedish	SLEEP	SLEEP.502
Danish	SMALL	SMALL.1487
Dutch	SMALL	SMALL.1560
Elfdalian	SMALL	SMALL.1607
English	SMALL	SMALL.1461
Frisian	SMALL	SMALL.1607
German	SMALL	SMALL.1560
Hindi	SMALL	SMALL.1046
Russian	SMALL	SMALL.967
Spanish	SMALL	SMALL.3548
Swedish	SMALL	SMALL.1607
Danish	SMELL	SMELL.1488
Dutch	SMELL	SMELL.1561
Elfdalian	SMELL	SMELL.1558
English	SMELL	SMELL.1663
Frisian	SMELL	SMELL.1561
German	SMELL	SMELL.1561
Hindi	SMELL	SMELL.1047
Russian	SMELL	SMELL.940
Spanish	SMELL	SMELL.504
Swedish	SMELL	SMELL.4173
Danish	SMOKE	SMOKE.1489
Dutch	SMOKE	SMOKE.1489
Elfdalian	SMOKE	SMOKE.1489
English	SMOKE	SMOKE.1664
Frisian	SMOKE	SMOKE.1489
German	SMOKE	SMOKE.1489
Hindi	SMOKE	SMOKE.383
Russian	SMOKE	SMOKE.383
Spanish	SMOKE	SMOKE.383
Swedish	SMOKE	SMOKE.1489
Danish	SMOOTH	SMOOTH.1490
Dutch	SMOOTH	SMOOTH.968
Elfdalian	SMOOTH	SMOOTH.1608
English	SMOOTH	SMOOTH.1665
Frisian	SMOOTH	SMOOTH.968
German	SMOOTH	SMOOTH.968
Hindi	SMOOTH	SMOOTH.1120
Russian	SMOOTH	SMOOTH.968
Spanish	SMOOTH	SMOOTH.1339
Swedish	SMOOTH	SMOOTH.1490
Danish	SNAKE	SNAKE.1491
Dutch	SNAKE	SNAKE.1562
Elfdalian	SNAKE	SNAKE.417
English	SNAKE	SNAKE.1491
Frisian	SNAKE	SNAKE.1562
German	SNAKE	SNAKE.1562
Hindi	SNAKE	SNAKE.138
Russian	SNAKE	SNAKE.34
Spanish	SNAKE	SNAKE.4157
Swedish	SNAKE	SNAKE.417
Danish	SNOW	SNOW.385
Dutch	SNOW	SNOW.385
Elfdalian	SNOW	SNOW.385
English	SNOW	SNOW.385
Frisian	SNOW	SNOW.385
German	SNOW	SNOW.385
Hindi	SNOW	SNOW.625
Russian	SNOW	SNOW.385
Spanish	SNOW	SNOW.385
Swedish	SNOW	SNOW.385
Danish	SPIT	SPIT.242
Dutch	SPIT	SPIT.242
Elfdalian	SPIT	SPIT.242
English	SPIT	SPIT.242
Frisian	SPIT	SPIT.242
German	SPIT	SPIT.242
Hindi	SPIT	SPIT.1049
Russian	SPIT	SPIT.242
Spanish	SPIT	SPIT.242
Swedish	SPIT	SPIT.242
Danish	STAND	STAND.69
Dutch	STAND	STAND.69
Elfdalian	STAND	STAND.69
English	STAND	STAND.69
Frisian	STAND	STAND.69
German	STAND	STAND.69
Hindi	STAND	STAND.2376
Russian	STAND	STAND.69
Spanish	STAND	STAND.315
Swedish	STAND	STAND.69
Danish	STAR	STAR.387
Dutch	STAR	STAR.387
Elfdalian	STAR	STAR.387
English	STAR	STAR.387
Frisian	STAR	STAR.387
German	STAR	STAR.387
Hindi	STAR	STAR.387
Russian	STAR	STAR.3885
Spanish	STAR	STAR.387
Swedish	STAR	STAR.387
Danish	STICK	STICK.1492
Dutch	STICK	STICK.1563
Elfdalian	STICK	STICK.1609
English	STICK	STICK.1563
Frisian	STICK	STICK.1563
German	STICK	STICK.1563
Hindi	STICK	STICK.654
Russian	STICK	STICK.3377
Spanish	STICK	STICK.1340
Swedish	STICK	STICK.8
Danish	STONE	STONE.1493
Dutch	STONE	STONE.1493
Elfdalian	STONE	STONE.1493
English	STONE	STONE.1493
Frisian	STONE	STONE.1493
German	STONE	STONE.1493
Hindi	STONE	STONE.655
Russian	STONE	STONE.237
Spanish	STONE	STONE.389
Swedish	STONE	STONE.1493
Danish	STRAIGHT	STRAIGHT.390
Dutch	STRAIGHT	STRAIGHT.390
Elfdalian	STRAIGHT	STRAIGHT.390
English	STRAIGHT	STRAIGHT.1666
Frisian	STRAIGHT	STRAIGHT.390
German	STRAIGHT	STRAIGHT.2037
Hindi	STRAIGHT	STRAIGHT.488
Russian	STRAIGHT	STRAIGHT.3886
Spanish	STRAIGHT	STRAIGHT.390
Swedish	STRAIGHT	STRAIGHT.390
Danish	SUN	SUN.391
Dutch	SUN	SUN.391
Elfdalian	SUN	SUN.391
English	SUN	SUN.391
Frisian	SUN	SUN.391
German	SUN	SUN.391
Hindi	SUN	SUN.391
Russian	SUN	SUN.391
Spanish	SUN	SUN.391
Swedish	SUN	SUN.391
Danish	SWEET	SWEET.1494
Dutch	SWEET	SWEET.1494
Elfdalian	SWEET	SWEET.1494
English	SWEET	SWEET.1494
Frisian	SWEET	SWEET.1494
German	SWEET	SWEET.1494
Hindi	SWEET	SWEET.1052
Russian	SWEET	SWEET.3887
Spanish	SWEET	SWEET.392
Swedish	SWEET	SWEET.1494
Danish	SWELL	SWELL.1495
Dutch	SWELL	SWELL.1495
Elfdalian	SWELL	SWELL.1495
English	SWELL	SWELL.1495
Frisian	SWELL	SWELL.1495
German	SWELL	SWELL.1495
Hindi	SWELL	SWELL.656
Russian	SWELL	SWELL.972
Spanish	SWELL	SWELL.283
Swedish	SWELL	SWELL.1495
Danish	SWIM	SWIM.1496
Dutch	SWIM	SWIM.1496
Elfdalian	SWIM	SWIM.1496
English	SWIM	SWIM.1496
Frisian	SWIM	SWIM.1496
German	SWIM	SWIM.1496
Hindi	SWIM	SWIM.1053
Russian	SWIM	SWIM.361
Spanish	SWIM	SWIM.393
Swedish	SWIM	SWIM.1496
Danish	TAIL	TAIL.1497
Dutch	TAIL	TAIL.1497
Elfdalian	TAIL	TAIL.1610
English	TAIL	TAIL.1667
Frisian	TAIL	TAIL.1497
German	TAIL	TAIL.2038
Hindi	TAIL	TAIL.1123
Russian	TAIL	TAIL.973
Spanish	TAIL	TAIL.4158
Swedish	TAIL	TAIL.8
Danish	TAKE	TAKE.1498
Dutch	TAKE	TAKE.1379
Elfdalian	TAKE	TAKE.1498
English	TAKE	TAKE.1668
Frisian	TAKE	TAKE.1379
German	TAKE	TAKE.1379
Hindi	TAKE	TAKE.1124
Russian	TAKE	TAKE.553
Spanish	TAKE	TAKE.3334
Swedish	TAKE	TAKE.8
Danish	THAT	THAT.151
Dutch	THAT	THAT.151
Elfdalian	THAT	THAT.151
English	THAT	THAT.151
Frisian	THAT	THAT.151
German	THAT	THAT.151
Hindi	THAT	THAT.1125
Russian	THAT	THAT.151
Spanish	THAT	THAT.151
Swedish	THAT	THAT.151
Danish	THERE	THERE.152
Dutch	THERE	THERE.152
Elfdalian	THERE	THERE.152
English	THERE	THERE.152
Frisian	THERE	THERE.152
German	THERE	THERE.152
Hindi	THERE	THERE.731
Russian	THERE	THERE.152
Spanish	THERE	THERE.396
Swedish	THERE	THERE.152
Danish	THEY	THEY.153
Dutch	THEY	THEY.153
Elfdalian	THEY	THEY.153
English	THEY	THEY.1669
Frisian	THEY	THEY.1747
German	THEY	THEY.153
Hindi	THEY	THEY.1126
Russian	THEY	THEY.974
Spanish	THEY	THEY.397
Swedish	THEY	THEY.153
Danish	THICK	THICK.1240
Dutch	THICK	THICK.1240
Elfdalian	THICK	THICK.1240
English	THICK	THICK.1240
Frisian	THICK	THICK.1240
German	THICK	THICK.1240
Hindi	THICK	THICK.1056
Russian	THICK	THICK.975
Spanish	THICK	THICK.1725
Swedish	THICK	THICK.1240
Danish	THIGH	THIGH.1499
Dutch	THIGH	THIGH.1564
Elfdalian	THIGH	THIGH.1499
English	THIGH	THIGH.1564
Frisian	THIGH	THIGH.1748
German	THIGH	THIGH.2040
Hindi	THIGH	THIGH.1127
Russian	THIGH	THIGH.3888
Spanish	THIGH	THIGH.4159
Swedish	THIGH	THIGH.1499
Danish	THIN	THIN.977
Dutch	THIN	THIN.977
Elfdalian	THIN	THIN.1611
English	THIN	THIN.977
Frisian	THIN	THIN.977
German	THIN	THIN.977
Hindi	THIN	THIN.1108
Russian	THIN	THIN.977
Spanish	THIN	THIN.4160
Swedish	THIN	THIN.977
Danish	THINK	THINK.1500
Dutch	THINK	THINK.1565
Elfdalian	THINK	THINK.1500
English	THINK	THINK.1565
Frisian	THINK	THINK.1565
German	THINK	THINK.1565
Hindi	THINK	THINK.1128
Russian	THINK	THINK.3889
Spanish	THINK	THINK.1328
Swedish	THINK	THINK.1500
Danish	THIS	THIS.153
Dutch	THIS	THIS.153
Elfdalian	THIS	THIS.153
English	THIS	THIS.153
Frisian	THIS	THIS.153
German	THIS	THIS.153
Hindi	THIS	THIS.733
Russian	THIS	THIS.153
Spanish	THIS	THIS.8
Swedish	THIS	THIS.2461
Danish	THREE	THREE.157
Dutch	THREE	THREE.157
Elfdalian	THREE	THREE.157
English	THREE	THREE.157
Frisian	THREE	THREE.157
German	THREE	THREE.157
Hindi	THREE	THREE.157
Russian	THREE	THREE.157
Spanish	THREE	THREE.157
Swedish	THREE	THREE.157
Danish	THROW	THROW.1501
Dutch	THROW	THROW.1566
Elfdalian	THROW	THROW.1612
English	THROW	THROW.1570
Frisian	THROW	THROW.1566
German	THROW	THROW.1703
Hindi	THROW	THROW.1129
Russian	THROW	THROW.3890
Spanish	THROW	THROW.1335
Swedish	THROW	THROW.1503
Danish	TIE	TIE.79
Dutch	TIE	TIE.1567
Elfdalian	TIE	TIE.79
